Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Médiane du niveau vie (€),Part des ménages fiscaux imposés (%),Taux de pauvreté-Ensemble (%),Taux de pauvreté-moins de 30 ans (%),Taux de pauvreté-30 à 39 ans  (%),Taux de pauvreté-40 à 49 ans (%),Taux de pauvreté-50 à 59 ans (%),Taux de pauvreté-60 à 74 ans (%),Taux de pauvreté-75 ans ou plus (%),Taux de pauvreté-propriétaires (%),Taux de pauvreté-locataires (%),Part des revenus d'activité (%),dont part des salaires et traitements (%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%),1er décile du niveau de vie (€),9e décile du niveau de vie (€),Rapport interdécile 9e décile/1er décile
CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16
70006,Aillevillers-et-Lyaumont,661,1505,18102,,,,,,,,,,,,,,,,,,,,,,,,
70007,Ailloncourt,127,307,19347,,,,,,,,,,,,,,,,,,,,,,,,
70008,Ainvelle,70,146,21139,,,,,,,,,,,,,,,,,,,,,,,,
70009,Aisey-et-Richecourt,,,,,,,,,,,,,,,,,,,,,,,,,,,
70010,Alaincourt,43,101,20015,,,,,,,,,,,,,,,,,,,,,,,,
70011,Amage,128,332,20709,,,,,,,,,,,,,,,,,,,,,,,,
70012,Amance,282,670,19961,,,,,,,,,,,,,,,,,,,,,,,,
70013,Ambiévillers,,,,,,,,,,,,,,,,,,,,,,,,,,,
70014,Amblans-et-Velotte,143,380,20022,,,,,,,,,,,,,,,,,,,,,,,,
70015,Amoncourt,130,272,20715,,,,,,,,,,,,,,,,,,,,,,,,
70016,Amont-et-Effreney,82,156,17785,,,,,,,,,,,,,,,,,,,,,,,,
70017,Anchenoncourt-et-Chazel,106,244,20213,,,,,,,,,,,,,,,,,,,,,,,,
70018,Ancier,203,499,21084,,,,,,,,,,,,,,,,,,,,,,,,
70019,Andelarre,58,135,22742,,,,,,,,,,,,,,,,,,,,,,,,
70020,Andelarrot,87,236,22349,,,,,,,,,,,,,,,,,,,,,,,,
70021,Andornay,72,208,20870,,,,,,,,,,,,,,,,,,,,,,,,
70022,Angirey,57,145,17485,,,,,,,,,,,,,,,,,,,,,,,,
70023,Anjeux,68,149,19391,,,,,,,,,,,,,,,,,,,,,,,,
70024,Apremont,186,461,19203,,,,,,,,,,,,,,,,,,,,,,,,
70025,Arbecey,105,248,18112,,,,,,,,,,,,,,,,,,,,,,,,
70026,Arc-lès-Gray,1175,2484,18921,41,13,,,,,,,,24,58.5,50.5,3.1,4.9,40.5,6.9,6.6,2.1,2.7,1.7,-12.5,11445,30217,2.6
70027,Argillières,,,,,,,,,,,,,,,,,,,,,,,,,,,
70028,Aroz,62,142,19269,,,,,,,,,,,,,,,,,,,,,,,,
70029,Arpenans,105,233,18253,,,,,,,,,,,,,,,,,,,,,,,,
70030,Arsans,,,,,,,,,,,,,,,,,,,,,,,,,,,
70031,Athesans-Étroitefontaine,267,684,18951,,,,,,,,,,,,,,,,,,,,,,,,
