Code géographique,Libellé géographique,Nombre de ménages fiscaux,Nombre de personnes dans les ménages fiscaux,Médiane du niveau vie (€),Part des ménages fiscaux imposés (%),Taux de pauvreté-Ensemble (%),Taux de pauvreté-moins de 30 ans (%),Taux de pauvreté-30 à 39 ans  (%),Taux de pauvreté-40 à 49 ans (%),Taux de pauvreté-50 à 59 ans (%),Taux de pauvreté-60 à 74 ans (%),Taux de pauvreté-75 ans ou plus (%),Taux de pauvreté-propriétaires (%),Taux de pauvreté-locataires (%),Part des revenus d'activité (%),dont part des salaires et traitements (%),dont part des indemnités de chômage (%),dont part des revenus des activités non salariées (%),"Part des pensions, retraites et rentes (%)",Part des revenus du patrimoine et autres revenus (%),Part de l'ensemble des prestations sociales (%),dont part des prestations familiales (%),dont part des minima sociaux (%),dont part des prestations logement (%),Part des impôts (%),1er décile du niveau de vie (€),9e décile du niveau de vie (€),Rapport interdécile 9e décile/1er décile
CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,PIMP16,TP6016,TP60AGE116,TP60AGE216,TP60AGE316,TP60AGE416,TP60AGE516,TP60AGE616,TP60TOL116,TP60TOL216,PACT16,PTSA16,PCHO16,PBEN16,PPEN16,PPAT16,PPSOC16,PPFAM16,PPMINI16,PPLOGT16,PIMPOT16,D116,D916,RD16
01001,L'Abergement-Clémenciat,313,796,22679,,,,,,,,,,,,,,,,,,,,,,,,
01002,L'Abergement-de-Varey,101,248,24382,,,,,,,,,,,,,,,,,,,,,,,,
01004,Ambérieu-en-Bugey,6363,14228,19721,49,17,19,22,22,15,9,,5,28,73.0,66.0,3.3,3.7,27.0,8.8,6.9,2.8,2.1,2.0,-15.7,10457,33881,3.2
01005,Ambérieux-en-Dombes,633,1663,23378,,,,,,,,,,,,,,,,,,,,,,,,
01006,Ambléon,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,Ambronay,1087,2684,22146,57,,,,,,,,,,75.5,70.5,2.5,2.6,27.2,8.1,4.2,2.4,1.0,0.8,-15.0,13947,34915,2.5
01008,Ambutrix,297,736,24894,,,,,,,,,,,,,,,,,,,,,,,,
01009,Andert-et-Condon,141,331,23088,,,,,,,,,,,,,,,,,,,,,,,,
01010,Anglefort,441,1062,22881,,,,,,,,,,,,,,,,,,,,,,,,
01011,Apremont,143,365,23246,,,,,,,,,,,,,,,,,,,,,,,,
01012,Aranc,149,329,21178,,,,,,,,,,,,,,,,,,,,,,,,
01013,Arandas,65,143,18244,,,,,,,,,,,,,,,,,,,,,,,,
01014,Arbent,1314,3447,20158,52,12,,,,,,,,24,71.1,65.5,3.5,2.1,29.0,13.2,4.7,2.3,1.4,1.1,-18.0,11999,35546,3.0
01015,Arboys en Bugey,289,668,22357,,,,,,,,,,,,,,,,,,,,,,,,
01016,Arbigny,176,469,20406,,,,,,,,,,,,,,,,,,,,,,,,
01017,Argis,198,431,18831,,,,,,,,,,,,,,,,,,,,,,,,
01019,Armix,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,Ars-sur-Formans,496,1290,23153,,,,,,,,,,,,,,,,,,,,,,,,
01022,Artemare,562,1196,19845,,,,,,,,,,,,,,,,,,,,,,,,
01023,Asnières-sur-Saône,,,,,,,,,,,,,,,,,,,,,,,,,,,
01024,Attignat,1263,3254,21977,58,,,,,,,,,,79.5,72.7,2.3,4.5,25.1,7.1,3.9,2.5,0.7,0.7,-15.6,14182,34394,2.4
01025,Bâgé-Dommartin,1544,4151,21971,55,6,,,,,,,,,79.6,71.9,2.4,5.2,23.0,8.1,4.1,2.7,0.8,0.6,-14.8,13942,33092,2.4
01026,Bâgé-le-Châtel,398,885,20722,,,,,,,,,,,,,,,,,,,,,,,,
01027,Balan,647,1812,23697,,,,,,,,,,,,,,,,,,,,,,,,
01028,Baneins,225,600,22509,,,,,,,,,,,,,,,,,,,,,,,,
01029,Beaupont,256,614,19568,,,,,,,,,,,,,,,,,,,,,,,,
01030,Beauregard,363,885,21003,,,,,,,,,,,,,,,,,,,,,,,,
01031,Bellignat,1559,3555,18916,47,19,,33,,,,,,31,67.6,62.3,3.3,2.0,29.8,9.8,7.6,3.1,2.3,2.2,-14.8,10217,34473,3.4
01032,Béligneux,1167,3261,20826,51,8,,,,,,,,,81.3,75.6,3.3,2.4,21.4,6.5,5.5,3.6,0.9,1.0,-14.7,13348,34041,2.6
01033,Valserhône,6472,15255,21405,45,16,18,18,20,16,13,,7,27,78.2,71.4,4.3,2.5,23.9,7.2,4.6,1.9,1.5,1.2,-13.9,10534,45125,4.3
01034,Belley,4003,8758,18818,45,19,,21,24,17,15,,8,29,65.5,57.9,3.3,4.3,32.4,9.7,7.4,2.7,2.7,2.0,-15.0,10366,32881,3.2
01035,Belleydoux,143,319,22078,,,,,,,,,,,,,,,,,,,,,,,,
01036,Valromey-sur-Séran,579,1311,21142,,,,,,,,,,,,,,,,,,,,,,,,
01037,Bénonces,116,272,20663,,,,,,,,,,,,,,,,,,,,,,,,
01038,Bény,308,770,21909,,,,,,,,,,,,,,,,,,,,,,,,
01039,Béon,199,477,20663,,,,,,,,,,,,,,,,,,,,,,,,
01040,Béréziat,181,487,20760,,,,,,,,,,,,,,,,,,,,,,,,
01041,Bettant,326,795,22408,,,,,,,,,,,,,,,,,,,,,,,,
01042,Bey,113,295,24139,,,,,,,,,,,,,,,,,,,,,,,,
01043,Beynost,1774,4673,26233,69,5,,,,,,,,,78.7,70.7,2.5,5.5,25.9,12.0,2.7,1.7,0.5,0.5,-19.3,15268,45708,3.0
01044,Billiat,224,555,25120,,,,,,,,,,,,,,,,,,,,,,,,
01045,Birieux,99,298,24398,,,,,,,,,,,,,,,,,,,,,,,,
01046,Biziat,331,874,21491,,,,,,,,,,,,,,,,,,,,,,,,
01047,Blyes,373,1034,25809,,,,,,,,,,,,,,,,,,,,,,,,
01049,La Boisse,1177,3153,24686,66,,,,,,,,,,80.8,74.6,2.5,3.7,23.6,9.6,3.0,2.0,0.6,0.4,-17.0,14860,39262,2.6
01050,Boissey,126,339,19862,,,,,,,,,,,,,,,,,,,,,,,,
01051,Bolozon,,,,,,,,,,,,,,,,,,,,,,,,,,,
01052,Bouligneux,130,314,25697,,,,,,,,,,,,,,,,,,,,,,,,
01053,Bourg-en-Bresse,18601,38015,18249,46,22,27,28,26,22,15,9,5,32,64.6,57.5,3.4,3.7,33.4,9.5,8.2,2.6,3.0,2.5,-15.7,9790,33774,3.4
01054,Bourg-Saint-Christophe,510,1401,25382,,,,,,,,,,,,,,,,,,,,,,,,
01056,Boyeux-Saint-Jérôme,144,348,20805,,,,,,,,,,,,,,,,,,,,,,,,
01057,Boz,199,502,20778,,,,,,,,,,,,,,,,,,,,,,,,
01058,Brégnier-Cordon,337,827,20812,,,,,,,,,,,,,,,,,,,,,,,,
01060,Brénod,224,497,23066,,,,,,,,,,,,,,,,,,,,,,,,
01061,Brens,435,1196,22616,,,,,,,,,,,,,,,,,,,,,,,,
01062,Bressolles,338,917,25953,,,,,,,,,,,,,,,,,,,,,,,,
01063,Brion,211,495,24311,,,,,,,,,,,,,,,,,,,,,,,,
01064,Briord,412,1010,21123,,,,,,,,,,,,,,,,,,,,,,,,
01065,Buellas,720,1832,24043,,,,,,,,,,,,,,,,,,,,,,,,
01066,La Burbanche,,,,,,,,,,,,,,,,,,,,,,,,,,,
01067,Ceignes,101,250,22146,,,,,,,,,,,,,,,,,,,,,,,,
01068,Cerdon,300,695,19880,,,,,,,,,,,,,,,,,,,,,,,,
01069,Certines,606,1501,22985,,,,,,,,,,,,,,,,,,,,,,,,
01071,Cessy,1681,4238,39101,61,8,,,,,,,,,95.9,90.0,3.2,2.7,14.5,6.4,0.9,0.4,0.3,0.2,-17.7,14399,79858,5.5
01072,Ceyzériat,1277,3040,22806,64,,,,,,,,,,76.1,67.6,2.3,6.2,27.8,10.1,3.8,2.1,1.0,0.7,-17.8,14315,39253,2.7
01073,Ceyzérieu,444,1033,22682,,,,,,,,,,,,,,,,,,,,,,,,
01074,Chalamont,976,2338,21290,49,11,,,,,,,,,78.7,71.4,3.0,4.2,22.8,9.2,4.5,2.5,1.1,1.0,-15.2,12345,33461,2.7
01075,Chaleins,495,1370,23195,,,,,,,,,,,,,,,,,,,,,,,,
01076,Chaley,76,146,20439,,,,,,,,,,,,,,,,,,,,,,,,
01077,Challes-la-Montagne,91,190,21320,,,,,,,,,,,,,,,,,,,,,,,,
01078,Challex,504,1237,42085,,,,,,,,,,,,,,,,,,,,,,,,
01079,Champagne-en-Valromey,311,709,20290,,,,,,,,,,,,,,,,,,,,,,,,
01080,Champdor-Corcelles,282,665,21599,,,,,,,,,,,,,,,,,,,,,,,,
01081,Champfromier,299,690,22962,,,,,,,,,,,,,,,,,,,,,,,,
01082,Chanay,219,540,23821,,,,,,,,,,,,,,,,,,,,,,,,
01083,Chaneins,343,930,22744,,,,,,,,,,,,,,,,,,,,,,,,
01084,Chanoz-Châtenay,314,848,20934,,,,,,,,,,,,,,,,,,,,,,,,
01085,La Chapelle-du-Châtelard,145,393,21769,,,,,,,,,,,,,,,,,,,,,,,,
01087,Charix,116,285,24141,,,,,,,,,,,,,,,,,,,,,,,,
01088,Charnoz-sur-Ain,353,942,25693,,,,,,,,,,,,,,,,,,,,,,,,
01089,Château-Gaillard,822,2222,21886,57,,,,,,,,,,81.0,74.5,2.9,3.7,21.1,7.5,4.6,3.0,0.7,0.9,-14.2,12947,33313,2.6
01090,Châtenay,144,348,22320,,,,,,,,,,,,,,,,,,,,,,,,
01092,Châtillon-la-Palud,627,1634,23277,,,,,,,,,,,,,,,,,,,,,,,,
01093,Châtillon-sur-Chalaronne,2153,4628,20849,51,10,,,,,,,,16,66.9,59.8,2.7,4.5,33.1,10.5,5.0,2.1,1.5,1.4,-15.5,12731,35026,2.8
01094,Chavannes-sur-Reyssouze,312,752,20651,,,,,,,,,,,,,,,,,,,,,,,,
01095,Nivigne et Suran,331,786,20242,,,,,,,,,,,,,,,,,,,,,,,,
01096,Chaveyriat,381,1012,21556,,,,,,,,,,,,,,,,,,,,,,,,
01098,Chazey-Bons,444,1115,20510,,,,,,,,,,,,,,,,,,,,,,,,
01099,Chazey-sur-Ain,632,1558,24182,,,,,,,,,,,,,,,,,,,,,,,,
01100,Cheignieu-la-Balme,72,142,20033,,,,,,,,,,,,,,,,,,,,,,,,
01101,Chevillard,67,162,25300,,,,,,,,,,,,,,,,,,,,,,,,
01102,Chevroux,361,939,21651,,,,,,,,,,,,,,,,,,,,,,,,
01103,Chevry,590,1462,39236,,,,,,,,,,,,,,,,,,,,,,,,
01104,Chézery-Forens,187,437,24775,,,,,,,,,,,,,,,,,,,,,,,,
01105,Civrieux,624,1717,25783,,,,,,,,,,,,,,,,,,,,,,,,
01106,Cize,70,160,21393,,,,,,,,,,,,,,,,,,,,,,,,
01107,Cleyzieu,61,127,21660,,,,,,,,,,,,,,,,,,,,,,,,
01108,Coligny,516,1104,20576,,,,,,,,,,,,,,,,,,,,,,,,
01109,Collonges,737,1915,31876,,,,,,,,,,,,,,,,,,,,,,,,
01110,Colomieu,70,155,20113,,,,,,,,,,,,,,,,,,,,,,,,
01111,Conand,51,123,19724,,,,,,,,,,,,,,,,,,,,,,,,
01112,Condamine,162,432,21874,,,,,,,,,,,,,,,,,,,,,,,,
01113,Condeissiat,336,826,19951,,,,,,,,,,,,,,,,,,,,,,,,
01114,Confort,213,541,27678,,,,,,,,,,,,,,,,,,,,,,,,
01115,Confrançon,543,1340,20859,,,,,,,,,,,,,,,,,,,,,,,,
01116,Contrevoz,211,501,21717,,,,,,,,,,,,,,,,,,,,,,,,
01117,Conzieu,56,154,18355,,,,,,,,,,,,,,,,,,,,,,,,
01118,Corbonod,438,1048,24204,,,,,,,,,,,,,,,,,,,,,,,,
01121,Corlier,41,106,19896,,,,,,,,,,,,,,,,,,,,,,,,
01123,Cormoranche-sur-Saône,432,1158,23006,,,,,,,,,,,,,,,,,,,,,,,,
01124,Cormoz,293,660,20592,,,,,,,,,,,,,,,,,,,,,,,,
01125,Corveissiat,258,621,21892,,,,,,,,,,,,,,,,,,,,,,,,
01127,Courmangoux,214,484,23060,,,,,,,,,,,,,,,,,,,,,,,,
01128,Courtes,123,297,19992,,,,,,,,,,,,,,,,,,,,,,,,
01129,Crans,111,277,21660,,,,,,,,,,,,,,,,,,,,,,,,
01130,Bresse Vallons,858,2288,21828,56,,,,,,,,,,78.8,71.6,2.2,5.0,23.3,8.3,4.0,2.9,0.6,0.5,-14.4,14119,33102,2.3
01133,Cressin-Rochefort,170,442,22578,,,,,,,,,,,,,,,,,,,,,,,,
01134,Crottet,698,1795,22457,,,,,,,,,,,,,,,,,,,,,,,,
01135,Crozet,670,1836,38348,,,,,,,,,,,,,,,,,,,,,,,,
01136,Cruzilles-lès-Mépillat,330,901,22133,,,,,,,,,,,,,,,,,,,,,,,,
01138,Culoz,1244,2810,19460,47,15,,,,,,,,30,67.0,60.8,3.8,2.4,32.4,7.6,5.9,2.7,1.7,1.5,-12.9,11171,31675,2.8
01139,Curciat-Dongalon,196,445,18522,,,,,,,,,,,,,,,,,,,,,,,,
01140,Curtafond,295,756,22357,,,,,,,,,,,,,,,,,,,,,,,,
01141,Cuzieu,178,441,23300,,,,,,,,,,,,,,,,,,,,,,,,
01142,Dagneux,1800,4827,22913,61,7,,,,,,,,13,80.8,74.8,3.2,2.8,21.7,8.8,4.4,2.6,0.9,0.9,-15.7,14015,36398,2.6
01143,Divonne-les-Bains,3665,8622,43325,67,10,,,8,14,,,7,13,95.3,89.2,3.0,3.0,16.4,8.9,0.7,0.2,0.3,0.2,-21.3,13074,105716,8.1
01145,Dompierre-sur-Veyle,484,1169,20832,,,,,,,,,,,,,,,,,,,,,,,,
01146,Dompierre-sur-Chalaronne,158,446,22263,,,,,,,,,,,,,,,,,,,,,,,,
01147,Domsure,194,478,19996,,,,,,,,,,,,,,,,,,,,,,,,
01148,Dortan,775,1857,21718,,,,,,,,,,,,,,,,,,,,,,,,
01149,Douvres,434,1092,24938,,,,,,,,,,,,,,,,,,,,,,,,
01150,Drom,90,216,21995,,,,,,,,,,,,,,,,,,,,,,,,
01151,Druillat,481,1151,22102,,,,,,,,,,,,,,,,,,,,,,,,
01152,Échallon,296,754,25156,,,,,,,,,,,,,,,,,,,,,,,,
01153,Échenevex,664,1860,47218,,,,,,,,,,,,,,,,,,,,,,,,
01155,Évosges,63,146,21079,,,,,,,,,,,,,,,,,,,,,,,,
01156,Faramans,288,791,23749,,,,,,,,,,,,,,,,,,,,,,,,
01157,Fareins,867,2265,24723,63,,,,,,,,,,74.6,68.4,2.9,3.2,26.6,14.6,2.7,1.8,0.5,0.4,-18.5,15236,42114,2.8
01158,Farges,334,873,34415,,,,,,,,,,,,,,,,,,,,,,,,
01159,Feillens,1432,3442,21822,58,7,,,,,,,,,75.8,67.9,2.2,5.7,25.8,10.6,3.6,2.1,0.8,0.7,-15.8,13701,35837,2.6
01160,Ferney-Voltaire,3121,6647,26579,44,22,,23,24,26,,,15,27,82.3,77.4,3.3,1.5,23.1,9.5,2.4,0.8,0.8,0.7,-17.3,7312,70677,9.7
01162,Flaxieu,,,,,,,,,,,,,,,,,,,,,,,,,,,
01163,Foissiat,826,2033,21330,48,,,,,,,,,,73.1,65.2,2.5,5.5,27.7,9.2,4.0,2.4,0.9,0.8,-14.0,13154,33485,2.5
01165,Francheleins,565,1613,23034,,,,,,,,,,,,,,,,,,,,,,,,
01166,Frans,891,2418,24400,65,,,,,,,,,,80.2,72.6,2.5,5.1,23.7,10.0,2.9,1.8,0.5,0.5,-16.8,15447,37312,2.4
01167,Garnerans,263,689,22642,,,,,,,,,,,,,,,,,,,,,,,,
01169,Genouilleux,231,644,23167,,,,,,,,,,,,,,,,,,,,,,,,
01170,Béard-Géovreissiat,373,1087,21122,,,,,,,,,,,,,,,,,,,,,,,,
01171,Géovreisset,321,932,22391,,,,,,,,,,,,,,,,,,,,,,,,
01173,Gex,4894,11276,32304,60,11,,8,13,13,,,7,15,99.4,93.7,3.4,2.3,11.0,5.6,2.0,0.8,0.6,0.6,-18.0,11719,68949,5.9
01174,Giron,69,157,21643,,,,,,,,,,,,,,,,,,,,,,,,
01175,Gorrevod,337,838,20351,,,,,,,,,,,,,,,,,,,,,,,,
01177,Grand-Corent,82,176,23121,,,,,,,,,,,,,,,,,,,,,,,,
01179,Grièges,812,1958,22505,,,,,,,,,,,,,,,,,,,,,,,,
01180,Grilly,260,648,45127,,,,,,,,,,,,,,,,,,,,,,,,
01181,Groissiat,429,1210,22552,,,,,,,,,,,,,,,,,,,,,,,,
01183,Guéreins,553,1462,23560,,,,,,,,,,,,,,,,,,,,,,,,
01184,Hautecourt-Romanèche,349,806,20963,,,,,,,,,,,,,,,,,,,,,,,,
01185,Plateau d'Hauteville,2008,4108,21041,53,10,,,,,,,,20,64.4,56.1,2.9,5.4,36.3,9.3,4.8,1.7,1.8,1.3,-14.8,12457,34774,2.8
01187,Haut Valromey,311,680,20419,,,,,,,,,,,,,,,,,,,,,,,,
01188,Illiat,237,671,22645,,,,,,,,,,,,,,,,,,,,,,,,
01189,Injoux-Génissiat,431,1052,26495,,,,,,,,,,,,,,,,,,,,,,,,
01190,Innimond,,,,,,,,,,,,,,,,,,,,,,,,,,,
01191,Izenave,72,164,21624,,,,,,,,,,,,,,,,,,,,,,,,
01192,Izernore,896,2243,21532,59,,,,,,,,,,80.5,73.2,3.5,3.8,21.2,8.6,4.4,2.3,0.9,1.1,-14.7,13231,32784,2.5
01193,Izieu,95,199,21748,,,,,,,,,,,,,,,,,,,,,,,,
01194,Jassans-Riottier,2554,6173,21517,53,11,,,,,,,5,21,74.1,67.2,3.3,3.5,28.9,7.5,4.8,2.3,1.2,1.3,-15.3,12320,34857,2.8
01195,Jasseron,657,1670,23180,,,,,,,,,,,,,,,,,,,,,,,,
01196,Jayat,434,1147,21125,,,,,,,,,,,,,,,,,,,,,,,,
01197,Journans,154,353,25521,,,,,,,,,,,,,,,,,,,,,,,,
01198,Joyeux,97,245,21657,,,,,,,,,,,,,,,,,,,,,,,,
01199,Jujurieux,885,2030,20566,49,,,,,,,,,,75.4,68.7,3.0,3.7,26.5,7.6,4.8,2.6,1.0,1.1,-14.3,12607,33643,2.7
01200,Labalme,74,190,20601,,,,,,,,,,,,,,,,,,,,,,,,
01202,Lagnieu,3095,7123,21627,53,10,,,12,,,,,19,73.6,66.3,3.2,4.0,28.6,8.2,4.8,2.3,1.3,1.2,-15.2,12624,35432,2.8
01203,Laiz,480,1237,21999,,,,,,,,,,,,,,,,,,,,,,,,
01204,Le Poizat-Lalleyriat,265,648,23249,,,,,,,,,,,,,,,,,,,,,,,,
01206,Lantenay,118,293,23923,,,,,,,,,,,,,,,,,,,,,,,,
01207,Lapeyrouse,112,321,24648,,,,,,,,,,,,,,,,,,,,,,,,
01208,Lavours,65,133,20849,,,,,,,,,,,,,,,,,,,,,,,,
01209,Léaz,251,669,28475,,,,,,,,,,,,,,,,,,,,,,,,
01210,Lélex,88,177,22281,,,,,,,,,,,,,,,,,,,,,,,,
01211,Lent,600,1423,22233,,,,,,,,,,,,,,,,,,,,,,,,
01212,Lescheroux,285,693,19567,,,,,,,,,,,,,,,,,,,,,,,,
01213,Leyment,495,1360,22005,,,,,,,,,,,,,,,,,,,,,,,,
01214,Leyssard,70,144,22479,,,,,,,,,,,,,,,,,,,,,,,,
01215,Surjoux-Lhopital,60,132,23639,,,,,,,,,,,,,,,,,,,,,,,,
01216,Lhuis,353,824,20982,,,,,,,,,,,,,,,,,,,,,,,,
01219,Lompnas,73,166,15455,,,,,,,,,,,,,,,,,,,,,,,,
01224,Loyettes,1209,3194,21234,51,9,,,,,,,,,79.8,74.1,3.1,2.7,22.1,7.6,4.9,3.2,0.9,0.8,-14.4,12769,32647,2.6
01225,Lurcy,156,409,24847,,,,,,,,,,,,,,,,,,,,,,,,
01227,Magnieu,254,620,21920,,,,,,,,,,,,,,,,,,,,,,,,
01228,Maillat,256,628,22989,,,,,,,,,,,,,,,,,,,,,,,,
01229,Malafretaz,494,1182,21420,,,,,,,,,,,,,,,,,,,,,,,,
01230,Mantenay-Montlin,134,314,19247,,,,,,,,,,,,,,,,,,,,,,,,
01231,Manziat,814,2059,22720,60,,,,,,,,,,73.3,65.1,1.5,6.6,26.8,13.2,3.1,2.2,0.4,0.5,-16.4,14791,34472,2.3
01232,Marboz,921,2171,21587,52,,,,,,,,,,69.5,61.1,2.2,6.1,32.5,9.4,3.9,2.0,1.0,0.8,-15.3,13320,34161,2.6
01233,Marchamp,58,126,22062,,,,,,,,,,,,,,,,,,,,,,,,
01234,Marignieu,69,154,23407,,,,,,,,,,,,,,,,,,,,,,,,
01235,Marlieux,417,1050,20960,,,,,,,,,,,,,,,,,,,,,,,,
01236,Marsonnas,399,978,21475,,,,,,,,,,,,,,,,,,,,,,,,
01237,Martignat,616,1699,20498,,,,,,,,,,,,,,,,,,,,,,,,
01238,Massieux,964,2642,25813,70,,,,,,,,,,80.1,73.2,3.0,4.0,25.0,9.4,2.5,1.7,0.4,0.4,-17.0,15640,40792,2.6
01239,Massignieu-de-Rives,256,627,22740,,,,,,,,,,,,,,,,,,,,,,,,
01240,Matafelon-Granges,276,667,22167,,,,,,,,,,,,,,,,,,,,,,,,
01241,Meillonnas,545,1279,23621,,,,,,,,,,,,,,,,,,,,,,,,
01242,Mérignat,49,108,18666,,,,,,,,,,,,,,,,,,,,,,,,
01243,Messimy-sur-Saône,477,1267,24393,,,,,,,,,,,,,,,,,,,,,,,,
01244,Meximieux,3182,7610,22335,55,11,,,12,,,,,20,80.8,75.1,2.9,2.9,22.7,6.8,5.2,2.5,1.4,1.3,-15.5,12166,38046,3.1
01245,Bohas-Meyriat-Rignat,387,932,22882,,,,,,,,,,,,,,,,,,,,,,,,
01246,Mézériat,871,2139,21530,51,10,,,,,,,,,70.1,62.7,2.8,4.6,30.5,8.6,5.1,2.8,1.2,1.2,-14.3,12316,32658,2.7
01247,Mijoux,135,321,27065,,,,,,,,,,,,,,,,,,,,,,,,
01248,Mionnay,806,2269,26487,70,,,,,,,,,,87.3,79.8,2.6,4.9,19.7,8.2,2.3,1.5,0.4,0.4,-17.5,15897,42467,2.7
01249,Miribel,3782,9177,24033,63,8,,,10,,,,,16,78.8,72.3,2.7,3.8,23.8,10.7,3.8,2.0,1.0,0.9,-17.1,13325,40007,3.0
01250,Misérieux,658,1856,24855,,,,,,,,,,,,,,,,,,,,,,,,
01252,Mogneneins,302,797,23380,,,,,,,,,,,,,,,,,,,,,,,,
01254,Montagnat,778,2058,25419,71,,,,,,,,,,79.4,72.2,1.9,5.3,26.2,11.4,2.4,1.7,0.3,0.4,-19.4,15693,43865,2.8
01255,Montagnieu,249,583,20675,,,,,,,,,,,,,,,,,,,,,,,,
01257,Montanges,133,335,25521,,,,,,,,,,,,,,,,,,,,,,,,
01258,Montceaux,445,1235,24067,,,,,,,,,,,,,,,,,,,,,,,,
01259,Montcet,247,692,22743,,,,,,,,,,,,,,,,,,,,,,,,
01260,Le Montellier,106,284,24781,,,,,,,,,,,,,,,,,,,,,,,,
01261,Monthieux,240,672,24480,,,,,,,,,,,,,,,,,,,,,,,,
01262,Montluel,2836,6939,21097,53,14,,16,15,,,,,27,78.6,71.9,3.3,3.4,23.1,8.3,5.6,2.7,1.5,1.4,-15.6,11654,36074,3.1
01263,Montmerle-sur-Saône,1546,3852,23398,61,6,,,,,,,,,74.4,67.7,2.5,4.2,27.9,11.3,3.5,2.1,0.7,0.7,-17.1,14096,38888,2.8
01264,Montracol,402,1045,21969,,,,,,,,,,,,,,,,,,,,,,,,
01265,Montréal-la-Cluse,1459,3463,18804,47,17,,,,,,,,26,74.3,67.7,4.0,2.5,25.7,7.6,6.4,2.8,1.9,1.8,-14.0,11197,31711,2.8
01266,Montrevel-en-Bresse,1077,2298,20813,49,9,,,,,,,,,63.0,57.5,2.1,3.4,37.0,9.6,4.5,2.0,1.3,1.2,-14.1,12922,32121,2.5
01267,Nurieux-Volognat,400,1027,21759,,,,,,,,,,,,,,,,,,,,,,,,
01268,Murs-et-Gélignieux,102,250,21734,,,,,,,,,,,,,,,,,,,,,,,,
01269,Nantua,1394,3146,17052,41,26,,34,31,,,,,36,69.7,62.5,3.9,3.3,26.2,9.5,8.5,3.5,2.4,2.5,-13.9,9423,32015,3.4
01272,Neuville-les-Dames,640,1476,20925,,,,,,,,,,,,,,,,,,,,,,,,
01273,Neuville-sur-Ain,678,1683,20660,,,,,,,,,,,,,,,,,,,,,,,,
01274,Les Neyrolles,234,622,19131,,,,,,,,,,,,,,,,,,,,,,,,
01275,Neyron,998,2577,27145,71,,,,,,,,,,80.0,70.7,1.9,7.4,23.0,18.6,2.0,1.2,0.4,0.4,-23.6,15886,53498,3.4
01276,Niévroz,552,1608,24332,,,,,,,,,,,,,,,,,,,,,,,,
01277,Nivollet-Montgriffon,58,118,21540,,,,,,,,,,,,,,,,,,,,,,,,
01279,Oncieu,,,,,,,,,,,,,,,,,,,,,,,,,,,
01280,Ordonnaz,75,152,20614,,,,,,,,,,,,,,,,,,,,,,,,
01281,Ornex,1358,3366,34872,48,15,,,,,,,11,23,89.9,84.7,2.9,2.3,18.0,7.8,1.5,0.5,0.6,0.4,-17.2,8834,83092,9.4
01282,Outriaz,103,256,22885,,,,,,,,,,,,,,,,,,,,,,,,
01283,Oyonnax,9248,22444,16948,40,25,31,32,30,21,20,,9,36,68.0,60.0,5.1,2.9,28.4,8.8,9.1,3.7,2.8,2.6,-14.3,9406,30199,3.2
01284,Ozan,259,678,20230,,,,,,,,,,,,,,,,,,,,,,,,
01285,Parcieux,444,1224,27464,,,,,,,,,,,,,,,,,,,,,,,,
01286,Parves et Nattages,397,991,23963,,,,,,,,,,,,,,,,,,,,,,,,
01288,Péron,874,2243,37139,47,10,,,,,,,,,92.4,88.3,2.2,1.8,14.8,6.5,0.9,0.5,0.3,0.2,-14.6,12737,76785,6.0
01289,Péronnas,2668,6019,22409,58,8,,,,,,,,18,65.9,59.7,2.4,3.8,36.6,10.7,3.7,1.8,1.0,1.0,-16.9,13220,37852,2.9
01290,Pérouges,514,1211,25310,,,,,,,,,,,,,,,,,,,,,,,,
01291,Perrex,328,834,21116,,,,,,,,,,,,,,,,,,,,,,,,
01293,Peyriat,64,152,22649,,,,,,,,,,,,,,,,,,,,,,,,
01294,Peyrieu,348,835,21395,,,,,,,,,,,,,,,,,,,,,,,,
01295,Peyzieux-sur-Saône,218,645,22573,,,,,,,,,,,,,,,,,,,,,,,,
01296,Pirajoux,157,380,20860,,,,,,,,,,,,,,,,,,,,,,,,
01297,Pizay,307,869,24942,,,,,,,,,,,,,,,,,,,,,,,,
01298,Plagne,55,129,27508,,,,,,,,,,,,,,,,,,,,,,,,
01299,Le Plantay,185,502,22683,,,,,,,,,,,,,,,,,,,,,,,,
01301,Polliat,1057,2561,23018,63,,,,,,,,,,74.2,66.6,2.2,5.4,30.0,8.9,3.1,1.9,0.6,0.6,-16.2,14897,36414,2.4
01302,Pollieu,70,168,25865,,,,,,,,,,,,,,,,,,,,,,,,
01303,Poncin,725,1634,20445,,,,,,,,,,,,,,,,,,,,,,,,
01304,Pont-d'Ain,1108,2705,20963,49,11,,,,,,,,,75.0,65.6,3.6,5.8,27.4,7.1,5.2,2.7,1.4,1.1,-14.7,12236,33376,2.7
01305,Pont-de-Vaux,1048,2009,18818,45,14,,,,,,,,22,64.0,55.6,3.4,5.0,33.7,10.6,6.0,2.0,2.0,2.0,-14.3,11227,31665,2.8
01306,Pont-de-Veyle,686,1438,19038,,,,,,,,,,,,,,,,,,,,,,,,
01307,Port,362,836,21057,,,,,,,,,,,,,,,,,,,,,,,,
01308,Pougny,277,650,34247,,,,,,,,,,,,,,,,,,,,,,,,
